API VERSION: 1.0
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / WWW_USER Fri Sep 11 04:04:24 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : B.C. 1500-Dec-20 20:05:09.3650 TT      
Stop  time      : A.D. 1001-Dec-22 00:13:13.4630 TT      
Step-size       : 0 steps
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.260910.p261207                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-10. PREDICTS-> 2026-DEC-06
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(TT)__HR:MN:SC.fff, , ,    ObsEcLon,   ObsEcLat,
b1437-Dec-20 03:09:16.030, , , 270.0000000,  0.0000198,
b1436-Dec-20 08:52:37.688, , , 270.0000000, -0.0002090,
b1435-Dec-20 14:37:04.066, , , 270.0000000,  0.0000234,
b1434-Dec-20 20:29:18.265, , , 270.0000000,  0.0000233,
b1433-Dec-20 02:24:06.142, , , 270.0000000, -0.0000165,
b1432-Dec-20 08:15:20.825, , , 270.0000000,  0.0000787,
b1431-Dec-20 14:09:22.544, , , 270.0000000, -0.0002403,
b1430-Dec-20 20:03:55.665, , , 270.0000000,  0.0000726,
b1429-Dec-20 01:53:35.567, , , 270.0000000, -0.0001512,
b1428-Dec-20 07:42:51.006, , , 270.0000000,  0.0000512,
b1427-Dec-20 13:32:05.309, , , 270.0000000, -0.0000635,
b1426-Dec-20 19:23:44.593, , , 270.0000000, -0.0001589,
b1425-Dec-20 01:15:11.159, , , 270.0000000,  0.0001336,
b1424-Dec-20 06:58:02.545, , , 270.0000000, -0.0001956,
b1423-Dec-20 12:46:14.345, , , 270.0000000,  0.0001127,
b1422-Dec-20 18:39:24.665, , , 270.0000000, -0.0001280,
b1421-Dec-20 00:28:28.084, , , 270.0000000, -0.0000839,
b1420-Dec-20 06:17:55.477, , , 270.0000000, -0.0000208,
b1419-Dec-20 12:06:33.641, , , 270.0000000, -0.0002577,
b1418-Dec-20 17:53:42.714, , , 270.0000000,  0.0001856,
b1417-Dec-19 23:43:51.979, , , 270.0000000, -0.0000419,
b1416-Dec-20 05:28:56.907, , , 270.0000000,  0.0001629,
b1415-Dec-20 11:17:13.174, , , 270.0000000, -0.0000513,
b1414-Dec-20 17:13:14.320, , , 270.0000000, -0.0001678,
b1413-Dec-19 22:59:57.021, , , 270.0000000, -0.0000260,
b1412-Dec-20 04:46:43.609, , , 270.0000000, -0.0002240,
b1411-Dec-20 10:38:31.773, , , 270.0000000,  0.0000677,
b1410-Dec-20 16:29:51.041, , , 270.0000000, -0.0001201,
b1409-Dec-19 22:28:05.474, , , 270.0000000,  0.0001023,
b1408-Dec-20 04:21:17.338, , , 269.9999999, -0.0000438,
b1407-Dec-20 10:09:34.129, , , 269.9999999, -0.0001495,
b1406-Dec-20 16:06:18.515, , , 270.0000000,  0.0001067,
b1405-Dec-19 21:50:40.393, , , 270.0000000, -0.0001830,
b1404-Dec-20 03:35:15.321, , , 270.0000000,  0.0001323,
b1403-Dec-20 09:26:05.540, , , 270.0000000, -0.0001846,
b1402-Dec-20 15:10:02.414, , , 270.0000000, -0.0000208,
b1401-Dec-20 20:59:16.386, , , 270.0000000,  0.0000705,
b1400-Dec-21 02:43:26.912, , , 270.0000000, -0.0001105,
b1399-Dec-21 08:26:14.982, , , 270.0000000,  0.0001778,
b1398-Dec-21 14:24:45.097, , , 270.0000000, -0.0002082,
b1397-Dec-20 20:14:18.816, , , 270.0000000,  0.0000164,
b1396-Dec-21 02:03:19.078, , , 270.0000000, -0.0001675,
b1395-Dec-21 07:59:06.326, , , 270.0000000, -0.0001811,
b1394-Dec-21 13:45:39.397, , , 270.0000000,  0.0000953,
b1393-Dec-20 19:39:20.621, , , 270.0000000, -0.0000533,
b1392-Dec-21 01:30:24.513, , , 270.0000000,  0.0001741,
b1391-Dec-21 07:17:39.500, , , 270.0000000, -0.0001734,
b1390-Dec-21 13:16:51.988, , , 270.0000000, -0.0000148,
b1389-Dec-20 19:03:42.267, , , 270.0000000, -0.0001219,
b1388-Dec-21 00:45:58.106, , , 270.0000000, -0.0001273,
b1387-Dec-21 06:40:07.097, , , 270.0000000,  0.0000739,
b1386-Dec-21 12:27:14.585, , , 270.0000000, -0.0001489,
b1385-Dec-20 18:20:42.529, , , 270.0000000,  0.0001890,
b1384-Dec-21 00:13:45.493, , , 270.0000000, -0.0001257,
b1383-Dec-21 05:55:23.515, , , 270.0000000,  0.0000258,
b1382-Dec-21 11:50:23.251, , , 270.0000000,  0.0000151,
b1381-Dec-20 17:36:07.083, , , 270.0000000, -0.0001296,
